mmsi,mean_frequency,std_frequency,mean_bandwidth,mean_power,mean_signal_strength,mean_noise_level,mean_snr,mean_lat,mean_lon,nb_signatures,name,flag,type
200698187,158.9,1.6083780650083472,26.45,290.6666666666667,-74.36666666666666,-80.88333333333334,35.666666666666664,-11.77923333333333,-81.08978333333333,6,NAVIRE-8187,USA,Fishing Vessel
201837657,159.26500000000001,1.7577912276490657,22.066666666666666,164.71666666666667,-85.81666666666666,-99.95,34.733333333333334,-25.691983333333337,-35.93328333333333,6,NAVIRE-7657,Marshall Islands,Fishing Vessel
202156040,156.78,0.3900000000000077,31.733333333333334,186.73333333333335,-74.03333333333335,-84.73333333333333,17.400000000000002,-28.2041,20.287166666666668,3,NAVIRE-6040,Malta,Passenger Ship
203295373,158.5225,1.6334294189424445,37.95,80.125,-85.075,-92.15,25.95,-16.789949999999997,-45.778475,4,NAVIRE-5373,Denmark,Bulk Carrier
204111655,158.542,1.8960406113794046,39.839999999999996,271.7,-59.239999999999995,-93.97999999999999,22.52,-6.89216,-55.951260000000005,5,NAVIRE-1655,Bahamas,Bulk Carrier
205804175,159.64666666666668,1.223187093893116,27.266666666666666,181.88333333333333,-62.88333333333333,-78.75,11.0,-13.608250000000004,-28.698783333333328,6,NAVIRE-4175,Marshall Islands,Fishing Vessel
205927097,161.74,,35.8,225.4,-23.9,-70.3,15.3,-73.8226,87.2638,1,NAVIRE-7097,France,Fishing Vessel
206220320,157.28,,47.3,263.2,-48.6,-88.7,15.8,74.6459,-122.2249,1,NAVIRE-0320,Singapore,Fishing Vessel
206352442,161.6966666666667,0.20207259421636165,23.8,323.76666666666665,-86.96666666666665,-95.10000000000001,37.5,-5.1128333333333345,-88.97853333333335,3,NAVIRE-2442,USA,Bulk Carrier
207068046,159.02125,1.9041041200522641,28.8125,203.95,-80.6375,-93.7125,17.6375,-4.866949999999999,-21.871737500000002,8,NAVIRE-8046,France,Bulk Carrier
207618219,158.31,0.9501929628589494,29.975,334.5,-56.8,-86.3,17.325,-31.302925000000002,38.47605,4,NAVIRE-8219,USA,Fishing Vessel
208204205,159.456,1.222121106928448,32.08,168.98,-67.36,-80.3,22.84,-56.25926,-34.5664,5,NAVIRE-4205,Panama,General Cargo
208289492,158.14100000000002,1.59447971312136,34.08,274.15,-67.56,-85.82000000000001,21.3,20.361489999999996,4.779099999999999,10,NAVIRE-9492,USA,Bulk Carrier
